company_name,board_approval_date,address,board_amount,actual_benefit
Blueline Manufacturing Inc.,2012-10-23T00:00:00Z,"112 W Amedee Dr, Scott, LA",479471,61420.24
James Marine Hahnville LLC,2012-10-23T00:00:00Z,"15442 River Road, Hahnville, LA",318042,55975.39
W. R. Grace & Co.- Conn.  dba Grace Davison,2015-10-27T00:00:00Z,"1800 Davison Road, Sulphur, LA",21737823,3880201.41
Monsanto Company,2014-10-28T00:00:00Z,"12501 River Road, Luling, LA",189331727,32494553.87
"CF Industries, Inc.",2014-10-28T00:00:00Z,"39018 Hwy. 3089, Donaldsonville, LA",781075,120207.44
Westlake Chemical OpCo LP,2012-12-11T00:00:00Z,"900 Hwy 108, Sulphur, LA",2742692,519191.6
"Westlake Petrochemical, LLC",2012-12-11T00:00:00Z,"900 Hwy 108, Sulphur, LA",4670338,369181.57
Dow Chemical Company,2014-08-26T00:00:00Z,"21255 LA Highway 1, Plaquemine, LA",21408625,3429431.97
"ECO Services Operations, LLC",2012-10-23T00:00:00Z,"1275 Airline Highway, Baton Rouge, LA",3621341,598245.53
"Westlake Styrene, LP",2012-12-11T00:00:00Z,"900 Hwy 108, Sulphur, LA",3445759,652282.18
"Solvay USA, Inc.",2012-10-23T00:00:00Z,"1275 Airline Highway, Baton Rouge, LA",936072,154639.09
"Westlake Management Services, Inc.",2012-12-11T00:00:00Z,"3525 Cities Services Hwy, Sulphur, LA",4848744,917867.24
"WPT, LLC",2012-12-11T00:00:00Z,"900 Highway 108, Sulphur, LA",4879173,53650.65
Dow Hydrocarbon and Resources LLC,2013-10-22T00:00:00Z,"Highway 966, Napoleonville, LA",135e5,1824060.62
"Westlake Vinyls Company, LP",2012-10-23T00:00:00Z,"36045 Hwy 30, Geismar, LA",4905212,716651.47
"Plastipak Packaging, Inc.",2013-10-22T00:00:00Z,"4101 Pardue Road, Pineville, LA",599600,99612.66
Marathon Petroleum Company LP,2015-12-08T00:00:00Z,"155 Sugarcane Road, Garyville, LA",17019080,3008973.34
"Ruelco, Inc.",2014-10-28T00:00:00Z,"1209 Distributors Row, Harahan, LA",1374007,213795.49
"James Machine Works, Inc.",2014-10-28T00:00:00Z,"1521 Adams St., Monroe, LA",1530928,208818.58
Halliburton Energy Services Inc.,2014-08-26T00:00:00Z,"419 Coast Guard Road, Venice, LA",9286411,870136.62
Union Carbide Corporation,2013-10-22T00:00:00Z,"Highway 18 River Road, Taft, LA",376e4,638928.06
"Gramercy Holdings I, LLC",2014-12-09T00:00:00Z,"1111 Airline Hwy 61, Gramercy, LA",7062114,1248581.76
"CF Industries, Inc.",2014-10-28T00:00:00Z,"39018 Hwy. 3089, Donaldsonville, LA",5208448,801580.15
"Dredging Supply Company, Inc.",2014-08-26T00:00:00Z,"156 Airport Road, Reserve, LA",8e5,147488.11
M-I SWACO,2014-10-28T00:00:00Z,"300 Adam Ted Gisclair Road, Golden Meadow, LA",13218245,2507155.3
"Halliburton Energy Services, Inc.",2014-08-26T00:00:00Z,"250 Davis Rd., Cameron, LA",917047,227611.07
"Baroid Drilling Fluids, A division of Halliburton Energy Services, Inc.",2014-08-26T00:00:00Z,"3500 Bayou D'Inde Road, Sulphur, LA",87522,15622.68
"Halliburton Energy Services, Inc.",2014-08-26T00:00:00Z,"12440 Offshore Road, Abbeville, LA",93579,13260.14
Halliburton Energy Services Inc.,2014-08-26T00:00:00Z,"1187 Evangeline Thruway, Broussard, LA",1393007,219781.76
"Halliburton Energy Services, Inc.",2015-10-27T00:00:00Z,"182 North Doucet Road, Port Fourchon, LA",8346916,1548209.16
"Halliburton Energy Services, Inc.",2014-08-26T00:00:00Z,"900 Youngs Road, Morgan City, LA",117599,17181.21
"Halliburton Energy Services, Inc.",2014-08-26T00:00:00Z,"4908 Industrial Drive, Bossier City, LA",5084778,749496.28
"Valero Refining-New Orleans, LLC",2014-10-28T00:00:00Z,"14902 River Road, Norco, LA",34444056,5920933.23
"Valero Refining-New Orleans, LLC",2016-12-20T00:00:00Z,"14902 River Road, Norco, LA",91374024,15542721.48
"Valero Refining-New Orleans, LLC",2014-10-28T00:00:00Z,"14902 River Road, Norco, LA",113096765,19441333.9
"Valero Refining-New Orleans, LLC",2013-10-22T00:00:00Z,"14902 River Road, Norco, LA",90349305,807810.28
"Parco, Inc. dba Olympian Machine, LLC",2013-10-22T00:00:00Z,"3655 West Park Ave., Gray, LA",1174965,165731.07
"Parco, Inc. dba Olympian Machine, LLC",2014-10-28T00:00:00Z,"3655 West Park Ave., Gray, LA",58589,9391.37
Union Carbide Corporation,2014-08-26T00:00:00Z,"Hwy 18 River Road, Taft, LA",35e5,284595.01
Dow Chemical Company,2014-08-26T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",17554617,1327078.21
Dow Chemical Company,2015-10-27T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",4123593,408388.52
Dow Chemical Company,2012-02-28T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",15683219,1999885
Dow Chemical Company,2016-10-28T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",15683219,1999885
Dow Chemical Company,2015-10-27T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",12357099,2399129.37
Dow Chemical Company,2013-06-25T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",7115601,2399129.37
Dow Chemical Company,2014-08-26T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",7260038,1132565.93
Cos-Mar Company,2012-06-26T00:00:00Z,"6325 Highway 75 River Road, Carville, LA",1459918,224243.4
Cameron International Corporation,2014-10-28T00:00:00Z,"#6 Holloway Blvd, Ville Platte, LA",13291157,1395571.49
Cameron International Corporation,2016-06-24T00:00:00Z,"#6 Holloway Blvd, Ville Platte, LA",19937044,2093389.62
Sasol Chemicals (USA) LLC,2012-10-23T00:00:00Z,"2201 Old Spanish Trail, Westlake, LA",5791061,982743.05
Sasol Chemicals (USA) LLC,2016-12-20T00:00:00Z,"2201 Old Spanish Trail, Westlake, LA",5791061,982743.05
Folger Coffee Company,2014-06-17T00:00:00Z,"5500 Chef Menteur Highway, New Orleans, LA",1367712,284210.55
Folger Coffee Company,2014-06-17T00:00:00Z,"14601 Old Gentilly Road, New Orleans, LA",15280131,3175211.22
"Stupp Coatings, LLC",2014-10-28T00:00:00Z,"12710 Leisure Road, Baton Rouge, LA",6764038,24789.65
"MSS Real Estate, LLC",2013-10-22T00:00:00Z,"15895 Industry Way, Walker, LA",672562,159957.9
"Dis-Tran Steel, LLC",2014-08-26T00:00:00Z,"529 Cenla Drive, Pineville, LA",10612137,1764798.38
"Dis-Tran Steel, LLC",2012-04-24T00:00:00Z,"529 Cenla Drive, Pineville, LA",1964859,97254.37
"Syngenta Crop Protection, LLC",2013-10-22T00:00:00Z,"3905 Highway 75, St. Gabriel, LA",18038471,1610189.12
Acme Machine & Welding LLC,2013-10-22T00:00:00Z,"73526 Bollfield Drive, Covington, LA",190025,48228.35
Union Carbide Corporation,2014-08-26T00:00:00Z,"Hwy 18 River Road, Taft, LA",3956370,693897.04
Dow Chemical Company,2015-10-27T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",2495e4,3446288.84
Ardagh Glass Inc.,2014-10-28T00:00:00Z,"4241 Highway 563, Simsboro, LA",15048706,2597148.4
Ardagh Glass Inc.,2014-10-28T00:00:00Z,"4241 Highway 563, Simsboro, LA",25626046,3365902.68
Westlake Chemical OpCo LP,2014-10-28T00:00:00Z,"900 Hwy 108, Sulphur, LA",10113877,1843759.78
Phillips 66 Company,2015-10-27T00:00:00Z,"2200 Old Spanish Trail Road, Westlake, LA",3139925,560476.61
"FMT Shipyard & Repair, LLC",2014-10-28T00:00:00Z,"3640 Peters Raod, Harvey, LA",15e6,2466108.6
"CB&I Energy Services, LLC",2014-08-26T00:00:00Z,"10404 Twin Port Road, Delcambre, LA",616091,63580.59
"Blue Runner Foods, Inc",2015-10-27T00:00:00Z,"726 S. Burnside Ave, Gonzales, LA",903954,159895.77
"Southern Foods Group, LP dba Brown's Velvet Dairy",2014-06-17T00:00:00Z,"1300 Baronne Street, New Orleans, LA",419888,110347.09
"Textron, Inc.",2013-10-22T00:00:00Z,"19401 Chef Menteur Hwy, New Orleans, LA",1684103,418660.64
"Utz Quality Foods, Inc.",2014-10-28T00:00:00Z,"307 e. airline highway, gramercy, LA",786458,76196.32
United States Gypsum Co.,2013-12-10T00:00:00Z,"5701 Lewis Road, New Orleans, LA",249248,65502.37
Exxon Mobil Corporation (BRSCC),2013-10-22T00:00:00Z,"500 Thomas Rd., Baton Rouge, LA",1884266,312872.28
Exxon Mobil Corporation (BRSCC),2013-10-22T00:00:00Z,"500 Thomas Rd., Baton Rouge, LA",3241101,536108.36
Exxon Mobil Corporation (BRSCC),2013-10-22T00:00:00Z,"500 Thomas Rd., Baton Rouge, LA",2878116,501655.74
Exxon Mobil Corporation (BRSCC),2013-10-22T00:00:00Z,"500 Thomas Rd., Baton Rouge, LA",1727853,286525.52
Exxon Mobil Corporation (BRSCC),2013-10-22T00:00:00Z,"500 Thomas Rd., Baton Rouge, LA",3194272,542716.03
Air Liquide Large Industries U.S. LP,2012-04-24T00:00:00Z,"36597 Hwy. 30, Geismar, LA",75624273,12638891.17
Air Liquide Large Industries U.S. LP,2016-12-20T00:00:00Z,"36597 Hwy. 30, Geismar, LA",75624273,12638891.17
"CF Industries, Inc.",2012-02-28T00:00:00Z,"39018 Hwy. 3089, Donaldsonville, LA",21798027,3463706.49
"CF Industries, Inc.",2012-02-28T00:00:00Z,"39018 Hwy. 3089, Donaldsonville, LA",14886220,2362443.11
"CF Industries, Inc.",2017-06-28T00:00:00Z,"39018 Hwy. 3089, Donaldsonville, LA",14886220,2362443.11
"Gulf Island, LLC",2014-10-28T00:00:00Z,"583 Thompson Road, Houma, LA",474633,67919.98
"Gulf Island, LLC",2015-08-25T00:00:00Z,"583 Thompson Road, Houma, LA",385758,52812.99
Taminco US LLC,2015-08-25T00:00:00Z,"3790 Highway 30, St. Gabriel, LA",37588637,5705955.1
"Americas Styrenics, LLC",2014-10-28T00:00:00Z,"9901 Highway 18, St. James, LA",8e6,1136534.94
"Peppers Unlimited of Louisiana, Inc.",2014-08-26T00:00:00Z,"602 W. Bridge Street, St. Martinville, LA",262202,41244.37
"CF Industries, Inc.",2014-10-28T00:00:00Z,"39018 Hwy. 3089, Donaldsonville, LA",1372207,211182.66
"Stuller, Inc.",2014-08-26T00:00:00Z,"302 Rue Louis XIV, Lafayette, LA",1306172,166667.55
Centric Pipe LLC,2012-06-26T00:00:00Z,"430 Hamilton Road, Bossier City, LA",1968076,296195.44
Centric Pipe LLC,2013-06-25T00:00:00Z,"430 Hamilton Road, Bossier City, LA",2814210,423538.61
"Acadiana Plastics Manufacturing, Inc.",2014-12-09T00:00:00Z,"314 School Board Drive, New Iberia, LA",128102,13220.23
Exxon Mobil Corp dba Exxon Mobil Corp (Chemical),2014-10-28T00:00:00Z,"4999 Scenic Hwy, Baton Rouge, LA",414e5,15628388.33
Exxon Mobil Corporation (Plastics),2014-10-28T00:00:00Z,"11675 Scotland Ave., Baton Rouge, LA",9596731,1570025.19
Exxon Mobil Corporation (Polyolefins),2014-10-28T00:00:00Z,"12875 Scenic Highway, Baton Rouge, LA",20910849,3421014.9
"EAM Nelson Holding, LLC",2014-10-28T00:00:00Z,"3500 Houston River Rd, Westlake, LA",342187,61080.38
"Entergy Louisiana, LLC - Waterford 3",2014-12-09T00:00:00Z,"17265 River Road, Killona, LA",16475618,3347858.73
"Entergy Louisiana, LLC - Buras",2014-08-26T00:00:00Z,"35264 Hwy. 11, Buras, LA",107272,10051.39
"Entergy Louisiana, LLC - Little Gypsy",2014-08-26T00:00:00Z,"17420 River Road, Montz, LA",4449332,764840.17
"Entergy Louisiana, LLC - Ninemile Point",2014-08-26T00:00:00Z,"1617 River Road, Westwego, LA",6477243,919120.78
"Entergy Louisiana, LLC - Perryville",2014-08-26T00:00:00Z,"11140 Hwy 165 North, Sterlington, LA",2222598,302940.11
"Entergy Louisiana, LLC - Sterlington",2014-08-26T00:00:00Z,"101 Boardman St., Sterlington, LA",1892157,257901
"Entergy Louisiana, LLC - Waterford 1& 2",2014-08-26T00:00:00Z,"17705 River Road, Killona, LA",870617,149659.06
"Entergy Louisiana, LLC - Waterford 1, 2 & 4",2014-08-26T00:00:00Z,"17705 River Road, Killona, LA",7416842,1274955.14
"Entergy Louisiana, LLC - Willow Glen",2014-10-28T00:00:00Z,"2605 Hwy 75, St. Gabriel, LA",2715641,409790.23
"Entergy Louisiana, LLC - Riverbend",2014-10-28T00:00:00Z,"5485 Highway 61, St. Francisville, LA",38235081,3991742.46
"Entergy Louisiana, LLC - Nelson",2014-10-28T00:00:00Z,"3500 HOUSTON RIVER RD, WESTLAKE, LA",2138477,381718.14
"Entergy Louisiana, LLC - Calcasieu",2014-10-28T00:00:00Z,"1519 Davison Road, Sulphur, LA",6145659,1097000.13
"Entergy Louisiana, LLC - Big Cajun",2014-10-28T00:00:00Z,"Hwy 981, New Roads, LA",221782,17365.53
"Brookfield District Energy USA, LLC",2015-10-27T00:00:00Z,"1661 GRAVIER ST., NEW ORLEANS, LA",420991,87481.93
"Entergy Arkansas, Inc.",2014-10-28T00:00:00Z,"350 Harvey Gregg Road, Sterlington, LA",14829089,2021204.83
"Entergy Louisiana, LLC - Ouachita Plant",2014-10-28T00:00:00Z,"350 Harvey Gregg Road, Sterlington, LA",4957900,675761.77
Entergy New Orleans Inc.-Michoud,2015-08-25T00:00:00Z,"3601 Paris Road, New Orleans, LA",1127624,234320.27
"Entergy Texas, Inc. - Big Cajun",2014-10-28T00:00:00Z,"Hwy 981, New Roads, LA",163927,12835.48
"Entergy Texas, Inc. - Nelson",2014-10-28T00:00:00Z,"3500 Houston River Road, Westlake, LA",933949,166709.9
Exxon Mobil Corporation (Refinery),2014-10-28T00:00:00Z,"4045 Scenic Highway, Baton Rouge, LA",136e6,16134864.8
"Noble Plastics, Inc.",2014-08-26T00:00:00Z,"318 Burleigh Lane, Grand Coteau, LA",39595,3318.06
"PBF Holding Company, LLC",2014-10-28T00:00:00Z,"500 W. St. Bernard Hwy, Chalmette, LA",70748589,11142902.77
"Chand, LLC",2014-08-26T00:00:00Z,"157 Hwy 654, Mathews, LA",96108,17818.42
Bollinger Fourchon LLC,2014-08-26T00:00:00Z,"106 Norman Doucet Dr, Golden Meadow, LA",1253077,232320.66
"Bollinger Morgan City, LLC",2014-08-26T00:00:00Z,"806 Bollinger Lane, Amelia, LA",898050,131205.11
Bollinger Larose LLC,2014-08-26T00:00:00Z,"1515 Hwy 24, Larose, LA",5860251,1086490.54
"Bollinger Algiers, LLC",2014-06-17T00:00:00Z,"434 Powder St, Algiers, LA",200612,41687.17
Bollinger Quick Repair LLC,2014-08-26T00:00:00Z,"615 Destrehan Avenue, Harvey, LA",919459,130471.23
Bollinger Shipyards Lockport LLC,2014-08-26T00:00:00Z,"8365 Hwy. 308 South, Lockport, LA",2149442,406902.57
"Bollinger Amelia Repair, LLC",2014-08-26T00:00:00Z,"606 Ford Industrial Lane, Amelia, LA",263774,38537.53
"K&B Machine Works, LLC",2014-10-28T00:00:00Z,"208 Rebecca Pond Rd, Schriever, LA",2691029,489875.66
"Intralox, LLC",2014-10-28T00:00:00Z,"301 Plantation Road, Harahan, LA",7282088,1028181.57
Albemarle Corporation,2014-10-28T00:00:00Z,"Gulf States Road, Baton Rouge, LA",21522778,3521126.48
Albemarle Corporation,2015-10-27T00:00:00Z,"Gulf States Road, Baton Rouge, LA",5371561,878787.38
Marathon Petroleum Company LP,2014-10-28T00:00:00Z,"155 Sugarcane Road, Garyville, LA",13086547,2313701.51
D & F Rentals Partnership,2013-10-22T00:00:00Z,"3903 Second Street ARA, New Iberia, LA",18205,2091.75
Halliburton Energy Services Inc.,2015-10-27T00:00:00Z,"1731 Highway 24, Larose, LA",19455074,3839958.15
"Ruffin Building Systems, Inc.",2013-08-27T00:00:00Z,"6914 Hwy 2, Oak Grove, LA",138629,14292.65
Hayes Manufacturing Co Inc,2013-10-22T00:00:00Z,"106 Pelican Drive, Pineville, LA",605729,100127
"Farmers Rice Milling Company, Inc.",2012-04-24T00:00:00Z,"3211 Highway 397, Lake Charles, LA",1693639,388727.87
"Farmers Rice Milling Company, Inc.",2016-10-28T00:00:00Z,"3211 Highway 397, Lake Charles, LA",1693639,388727.87
"Farmers Rice Milling Company, Inc.",2014-04-29T00:00:00Z,"3211 Highway 397, Lake Charles, LA",2336105,388727.87
"Farmers Rice Milling Company, Inc.",2016-06-24T00:00:00Z,"3211 Highway 397, Lake Charles, LA",12210629,2029406.54
"Elevating Boats, LLC",2013-04-23T00:00:00Z,"40495 West I-55 service Road, Ponchtoula, LA",912172,113747.85
Procter & Gamble Manufacturing,2014-08-26T00:00:00Z,"3701 Monroe Highway, Pineville, LA",14789841,2459550.56
Marathon Petroleum Company LP,2015-12-08T00:00:00Z,"155 Sugarcane Road, Garyville, LA",781177,242392.98
Marathon Petroleum Company LP,2012-04-24T00:00:00Z,"155 Sugarcane Road, Garyville, LA",5597778,989127.37
Marathon Petroleum Company LP,2016-10-28T00:00:00Z,"155 Sugarcane Road, Garyville, LA",5597778,989127.37
Marathon Petroleum Company LP,2014-10-28T00:00:00Z,"155 Sugarcane Road, Garyville, LA",1885117,333288.69
Martin Ecosystems,2013-10-22T00:00:00Z,"3185 Balis Drive, Baton Rouge, LA",83444,13511.95
Marathon Petroleum Company LP,2015-12-08T00:00:00Z,"155 Sugarcane Road, Garyville, LA",875114,154720.16
Marathon Petroleum Company LP,2014-10-28T00:00:00Z,"155 Sugarcane Road, Garyville, LA",2911329,514722.97
"Arcadia Gas Storage, LLC",2012-06-26T00:00:00Z,"2110 Saline Ridge Road, Arcadia, LA",78777525,2094424.53
"Arcadia Gas Storage, LLC",2017-04-26T00:00:00Z,"2110 Saline Ridge Road, Arcadia, LA",78777525,2094424.53
Southland Printing Company Inc,2013-10-22T00:00:00Z,"213 Airport Drive, Shreveport, LA",513767,114210.4
"Alon Refining Krotz Springs, Inc.",2013-04-23T00:00:00Z,"Highway 105 South, Krotz Springs, LA",12034845,1049438.48
"Alon Refining Krotz Springs, Inc.",2014-10-28T00:00:00Z,"Highway 105 South, Krotz Springs, LA",12200897,1057817.77
"Newspaper Service Co., Inc. -- d/b/a Jennings Daily News",2013-10-22T00:00:00Z,"238 N. Market Street, Jennings, LA",74822,12482.83
Pellerin Milnor Corporation,2013-10-22T00:00:00Z,"700 Jackson Street, Kenner, LA",455882,70935.24
"Ruston Newspapers, Inc.",2013-10-22T00:00:00Z,"212 West Park Ave, Ruston, LA",65391,10102.91
"Applegate Louisiana, LLC",2013-10-22T00:00:00Z,"2500 Jackson Street, Monroe, LA",91795,12686.07
"MK Environmental, Inc.",2013-10-22T00:00:00Z,"3751 US Highway 165, Columbia, LA",25497,4518.07
"Nelson & Sons, Inc.",2013-10-22T00:00:00Z,"476 Highway 546, West Monroe, LA",148680,20547.58
"Hardware Resources, Inc",2013-10-22T00:00:00Z,"4319 Marlena Street, Bossier City, LA",1541062,245908.08
"Baroid Drilling Fluids, A division of Halliburton Energy Services, Inc.",2013-10-22T00:00:00Z,"3500 Bayou D'Inde Road, Sulphur, LA",374525,68275.91
Halliburton Energy Services Inc.,2013-10-22T00:00:00Z,"1187 Evangeline Thruway, Broussard, LA",1229139,202316.11
Cornerstone Chemical Company,2013-10-22T00:00:00Z,"10800 River Road #B, Westwego, LA",4997159,777557.94
Cornerstone Chemical Company,2013-10-22T00:00:00Z,"10800 River Road #B, Westwego, LA",4474927,696298.64
"Life Water, LLC dba Mountain Brook Water",2013-10-22T00:00:00Z,"100 Avenue C, Kentwood, LA",228352,28292.81
Cooper Manufacturing & Supply Inc.,2013-08-27T00:00:00Z,"4931 E Broad Street, Lake Charles, LA",571794,104238.05
Cos-Mar Company,2013-10-22T00:00:00Z,"6325 Highway 75 River Road, Carville, LA",3632725,467531.84
"Graham Packaging LC, LP",2013-10-22T00:00:00Z,"311 Pride Drive, Hammond, LA",237650,29444.84
"New Industries, LLC",2013-10-22T00:00:00Z,"6032 Railroad Avenue, Morgan City, LA",345004,51647.1
Cos-Mar Company,2013-10-22T00:00:00Z,"6325 Highway 75 River Road, Carville, LA",4368657,562246.28
Cos-Mar Company,2013-10-22T00:00:00Z,"6325 Highway 75 River Road, Carville, LA",2928305,376872.98
"Great Southern Wood - Louisiana, Inc.",2013-10-22T00:00:00Z,"334 Elder Wood Road, Mansura, LA",398857,33982.62
Ingevity South Carolina LLC,2013-10-22T00:00:00Z,"400 Crosby Road, DeRidder, LA",3171169,509606.86
Textron Marine & Land Systems,2013-10-22T00:00:00Z,"252 Stone Road, Slidell, LA",759577,279804.27
"Dura-Lite Aluminum Products, Inc.",2013-10-22T00:00:00Z,"2143 Cameron St., Lafayette, LA",211572,27271.63
"Allen's Electric Motor Service, Inc.",2014-10-28T00:00:00Z,"400 Roy ""Hoppy"" Hopkins, Vivian, LA",65e4,76088.48
"West Fraser, Inc.",2013-10-22T00:00:00Z,"6481 Hwy 34 North, Joyce, LA",914548,148979.87
"ASH Industries, Inc.",2013-08-27T00:00:00Z,"1330 West Willow Avenue, Lafayette, LA",47659,6143.37
"American Advanced Technologies, LLC",2013-10-22T00:00:00Z,"2266 Denley Road, Houma, LA",239013,34107.16
"Ideal Steel, LLC",2013-08-27T00:00:00Z,"1289 Smede Highway, Broussard, LA",151075,21835.18
"Bercen, Inc. a division of Cranston Printworks Co.",2013-10-22T00:00:00Z,"30140 Eden Church Road, Denham Springs, LA",123024,24986.17
"PPG Industries, Inc.",2013-12-10T00:00:00Z,"1300 PPG Drive, Lake Charles, LA",4808216,414799.77
"PPG Industries, Inc.",2013-12-10T00:00:00Z,"1300 PPG Drive, Lake Charles, LA",2706524,112850.08
"PHH Monomers, LLC",2013-12-10T00:00:00Z,"1300 PPG Drive, Westlake, LA",82161,7685.95
Union Carbide Corporation,2015-10-27T00:00:00Z,"Highway 18, River Rd, Taft, LA",4115503,707454.97
Union Carbide Corporation,2013-10-22T00:00:00Z,"Highway 18, River Rd, Taft, LA",2392041,521337.9
Union Carbide Corporation,2013-10-22T00:00:00Z,"Highway 18, River Rd, Taft, LA",3183787,638829.07
Union Carbide Corporation,2013-10-22T00:00:00Z,"Highway 18, River Rd, Taft, LA",3087491,207910.63
Union Carbide Corporation,2013-10-22T00:00:00Z,"Highway 18, River Rd, Taft, LA",2099611,273573.68
Union Carbide Corporation,2013-10-22T00:00:00Z,"Highway 18, River Rd, Taft, LA",2881252,488866.14
Union Carbide Corporation,2013-10-22T00:00:00Z,"Highway 18, River Rd, Taft, LA",4253459,674593.67
Union Carbide Corporation,2013-10-22T00:00:00Z,"Highway 18, River Rd, Taft, LA",2388760,472711.67
Dow Chemical Company,2013-10-22T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",3415479,483528.66
Dow Chemical Company,2013-10-22T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",1731427,246857.49
Dow Chemical Company,2013-10-22T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",4070860,356540.57
Dow Chemical Company,2013-10-22T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",3861618,467279.46
Dow Chemical Company,2013-10-22T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",3797438,25500.62
Dow Chemical Company,2013-10-22T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",3676744,143195.22
Dow Chemical Company,2013-10-22T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",4773134,273520.96
Dow Chemical Company,2013-10-22T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",4135700,394332.68
Dow Chemical Company,2013-10-22T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",3958531,546522.14
Union Carbide Corporation,2013-10-22T00:00:00Z,"Highway 18, River Rd, Taft, LA",2424813,359756.53
Dow Chemical Company,2013-10-22T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",836310,106464.11
"Arkema, Inc.",2013-10-22T00:00:00Z,"Highway 18, River Rd, Taft, LA",2722871,468787.27
Amerchol Corporation,2013-10-22T00:00:00Z,"13875 Hwy 43, Greensburg, LA",907621,156005.7
DEXCO Polymers,2013-10-22T00:00:00Z,"21255 LA Highway 1, Plaquemine, LA",846606,108568.49
Dow Hydrocarbon and Resources LLC,2013-10-22T00:00:00Z,"Highway 966, Napoleonville, LA",186024,28396.55
Angus Chemical Company,2013-10-22T00:00:00Z,"LA Hwy. 12, Sterlington, LA",3310019,439515.25
Dow Chemical Company,2013-10-22T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",2745047,391812.71
"Boise Packaging & Newsprint, LLC",2013-10-22T00:00:00Z,"4200 Hwy 190 West, DeRidder, LA",3746236,602020.13
"Boise Packaging & Newsprint, LLC",2013-10-22T00:00:00Z,"4200 Hwy 190 West, DeRidder, LA",3842603,617506.78
"Thoma-Sea Marine Constuctors, LLC",2013-10-22T00:00:00Z,"6130 Hwy. #308, Lockport, LA",453746,83398.51
"Thoma-Sea Boat Builders, Inc.",2013-10-22T00:00:00Z,"1874 Industrial Blvd., Houma, LA",1958912,279524.61
Precise Printing Corporation,2013-10-22T00:00:00Z,"2826 Greenwood St., Kenner, LA",8490,1321.04
"Purina Mills, LLC",2013-10-22T00:00:00Z,"Highway 51 North, Arcola, LA",932607,115550.01
"Custom Retail Store Fixtures, LLC",2014-02-25T00:00:00Z,"9225 Slack Road, Shreveport, LA",28697,6379.57
Morton Salt,2013-10-22T00:00:00Z,"Hwy 83 South, Weeks Island, LA",2500465,289553.85
Exxon Mobil Corporation (Lubes),2013-10-22T00:00:00Z,"2239 Hwy 1 North, Port Allen, LA",2196159,315588.05
"Bocks Board Packaging, Inc.",2013-10-22T00:00:00Z,"2909 Cameron Street, Monroe, LA",20143,2783.76
Cabot Corporation,2014-10-28T00:00:00Z,"272 Cabot Corp. Plant Lane, Centerville, LA",1096762,160236.93
Cabot Corporation,2014-10-28T00:00:00Z,"272 Cabot Corp. Plant Lane, Centerville, LA",3133866,160236.93
W. R. Grace & Co.- Conn.  dba Grace Davison,2013-10-22T00:00:00Z,"1800 Davison Road, Sulphur, LA",4541574,827928.94
"Kisatchie Treating, LLC",2013-10-22T00:00:00Z,"10020 Highway 483, Converse, LA",425375,58318.91
Agrilectric Power Partners,2013-10-22T00:00:00Z,"3063 Hwy 397 South, Lake Charles, LA",279729,50994.6
"Farmers Rice Milling Company, Inc.",2013-10-22T00:00:00Z,"3211 Hwy 397 South, Lake Charles, LA",1054528,192240.45
Ampacet Corporation,2014-02-25T00:00:00Z,"125 Ampacet Drive, DeRidder, LA",127703,20521.87
Barriere Construction Co. LLC,2013-10-22T00:00:00Z,"1327 Esperanza Plantation Rd., Boutte, LA",757913,17114.66
Barriere Construction Co. LLC,2013-10-22T00:00:00Z,"407 C.C. ROAD, FRANKLINTON, LA",95372,17138.35
"Raeford Farms of Louisiana, LLC",2013-12-10T00:00:00Z,"3867 2nd St., Arcadia, LA",280343,43312.53
House of Raeford Farms of Louisiana LLC,2013-12-10T00:00:00Z,"3867 Second St, Arcadia, LA",3109519,490371.15
International Paper Company,2013-10-22T00:00:00Z,"204 South Park Road, Lafayette, LA",186158,23995.77
Columbian Chemicals Company,2013-10-22T00:00:00Z,"370 Columbian Chemicals Lane, Centerviulle, LA",2285159,342088.45
BASF Corporation,2017-02-21T00:00:00Z,"8404 River Rd, Geismar, LA",51283e3,8352539.7
"Weatherford U.S., LP",2013-10-22T00:00:00Z,"200 Apollo Rd, Scott, LA",293026,37771.05
GEO Specialty Chemicals,2013-10-22T00:00:00Z,"3393 Bayou Inde Road, Westlake, LA",20738,3780.54
