exemption_,company_na,address,approval_d,amount,join_permi,join_appli,join_lon,join_lat,distance
1604,Pioneer Americas LLC,"4205 Highway 75, St Gabriel, LA",2016/12/20,1643155.35000000009,1143,MPV Investments,-91.125208330000007,30.239722220000001,4258.128236156356252
1608,Cabot Corporation,"272 Cabot Plant Lane, Centerville, LA",2012/10/23,1474781.98999999999,654,Cleco Power LLC,-91.470619439999993,29.684550000000002,433.015353796945931
1609,Cabot Corporation,"272 Cabot Plant Lane, Centerville, LA",2017/02/21,1474781.98999999999,654,Cleco Power LLC,-91.470619439999993,29.684550000000002,433.015353796945931
1611,"Noranda Alumina, LLC","1111 Airline Hwy 61, Gramercy, LA",2014/12/09,476123.69000000000,2442,St. James Parish Council,-90.668444440000002,30.070319439999999,1731.276610184489755
1612,PCS Nitrogen Fertilizer LP,"LA Hwy 30 & Hwy 3115, Geismar, LA",2014/10/28,68758.64000000000,2064,Shriver Construction,-91.005933330000005,30.222316670000001,2133.457099249141265
1613,PCS Nitrogen Fertilizer LP,"LA Hwy 30 & Hwy 3115, Geismar, LA",2014/10/28,472943.42999999999,2064,Shriver Construction,-91.005933330000005,30.222316670000001,2133.457099249141265
1614,PCS Nitrogen Fertilizer LP,"LA Hwy 30 Hwy 3115, Geismar, LA",2014/10/28,412621.22999999998,2064,Shriver Construction,-91.005933330000005,30.222316670000001,2133.457099249141265
1615,Begneaud Manufacturing Inc,"306 East Amedee Drive, Scott, LA",2014/10/28,15176.23000000000,25,Lafayette Consolidated Government,-92.058769999999996,30.232530000000001,2913.142831669799307
1616,K&B Machine Works LLC,"2186 Grand Caillou Road, Houma, LA",2014/10/28,38815.73000000000,1980,Terrebonne Port Commission,-90.690888889999997,29.556666669999998,4067.630158501291589
1617,"Mosaic Fertilizer, LLC","7520 Highway 44, Uncle Sam, LA",2014/10/28,335609.50000000000,1870,ACL Transportation Services,-90.769930000000002,30.009950000000000,3523.504667995190630
1618,"Mosaic Fertilizer, LLC","7520 Highway 44, Uncle Sam, LA",2014/10/28,337736.46000000002,1870,ACL Transportation Services,-90.769930000000002,30.009950000000000,3523.504667995190630
1619,"Mosaic Fertilizer, LLC","7520 Highway 44, Uncle Sam, LA",2014/10/28,62189.74000000000,1870,ACL Transportation Services,-90.769930000000002,30.009950000000000,3523.504667995190630
1622,Excel Paralubes,"2800 Old Spanish Trail, Westlake, LA",2014/12/09,390527.83000000002,2016,Union Pacific Railway Corporation,-93.283394999999999,30.237990000000000,2862.847643705493738
1623,Excel Paralubes,"2800 Old Spanish Trail, Westlake, LA",2014/12/09,834037.31999999995,2016,Union Pacific Railway Corporation,-93.283394999999999,30.237990000000000,2862.847643705493738
1634,"Franklin Press, Inc.","1391 Highland Road, Baton Rouge, LA",2014/12/09,20371.96000000000,1473,"WATER CAMPUS, L.L.C.",-91.191079000000002,30.435404999999999,2066.928793543555003
1636,CITGO Petroleum Corporation,"4401 Hwy 108, Lake Charles, LA",2014/10/28,877364.81000000006,1688,"Louisiana Pigment Company, L.P.",-93.311493999999996,30.190477000000001,4366.800361373720989
1637,CITGO Petroleum Corporation,"4401 Hwy 108, Lake Charles, LA",2014/10/28,889335.55000000005,1688,"Louisiana Pigment Company, L.P.",-93.311493999999996,30.190477000000001,4366.800361373720989
1638,CITGO Petroleum Corporation,"4401 Hwy 108, Lake Charles, LA",2014/10/28,886189.67000000004,1688,"Louisiana Pigment Company, L.P.",-93.311493999999996,30.190477000000001,4366.800361373720989
1639,CITGO Petroleum Corporation,"4401 Hwy 108, Lake Charles, LA",2014/10/28,883824.90000000002,1688,"Louisiana Pigment Company, L.P.",-93.311493999999996,30.190477000000001,4366.800361373720989
1640,CITGO Petroleum Corporation,"4401 Hwy 108, Lake Charles, LA",2014/10/28,890347.46999999997,1688,"Louisiana Pigment Company, L.P.",-93.311493999999996,30.190477000000001,4366.800361373720989
1641,CITGO Petroleum Corporation,"4401 Hwy 108, Lake Charles, LA",2014/10/28,782547.20999999996,1688,"Louisiana Pigment Company, L.P.",-93.311493999999996,30.190477000000001,4366.800361373720989
1646,K/D/S Promix LLC,"662 Hwy 90, Belle Rose, LA",2014/10/28,116219.31000000000,2202,"HENRY W LANDRY, JR",-91.037999999999997,30.052600000000002,2760.645314510980825
1647,Baton Rouge Propylene Concentrator,"2220 North River Road, Port Allen, LA",2014/10/28,21315.87000000000,258,PLACID REFINING COMPANY,-91.199900000000000,30.474699999999999,2204.877751950598395
1648,"Baton Rouge Fractionators, LLC","2220 N. River Road, Port Allen, LA",2014/10/28,20588.45000000000,258,PLACID REFINING COMPANY,-91.199900000000000,30.474699999999999,2204.877751950598395
1649,Pioneer Americas LLC,"4205 Highway 75, St. Gabriel, LA",2014/10/28,348027.76000000001,1143,MPV Investments,-91.125208330000007,30.239722220000001,4258.128236156356252
1653,Enterprise Gas Processing LLC,"Hwy 61, Norco, LA",2014/10/28,97563.39000000000,139,"Maurepas Pipeline, LLC",-90.400188889999995,30.010855560000000,412.823817440817152
1654,Enterprise Gas Processing LLC,"2300 Bayou Road, St. Bernard, LA",2014/10/28,633273.17000000004,71,"Southern Natural Gas Company, LLC",-89.833880399999998,29.867791700000001,333.475189835749632
1656,Enterprise Gas Processing LLC,"10324 Highway 75, Geismar, LA",2014/10/28,3823.14000000000,697,Ascension Pipeline LLC,-91.032441669999997,30.215038889999999,2127.658842034972622
1657,Enterprise Gas Processing LLC,"5319 Bayou Black Road, Gibson, LA",2014/10/28,28853.40000000000,1029,"Gulf South Pipeline Company, LP",-90.930113890000001,29.630688889999998,1546.896709371418183
1659,"Lake Charles LNG Company, LLC","8100 Big Lake Road, Lake Charles, LA",2014/12/09,390794.87000000000,1483,Trunkline Engineering Company,-93.282561110000003,30.119750000000000,3519.991206328949829
1672,"Louisiana Pigment Company, LP","3300 Bayou d'Inde Road, Westlake, LA",2014/08/26,346435.65999999997,1688,"Louisiana Pigment Company, L.P.",-93.311493999999996,30.190477000000001,2823.180787927354231
1673,"Mosaic Fertilizer, LLC","7520 Highway 44, Uncle Sam, LA",2014/10/28,337221.20000000001,1870,ACL Transportation Services,-90.769930000000002,30.009950000000000,3523.504667995190630
1674,"Mosaic Fertilizer, LLC","7520 Highway 44, Uncle Sam, LA",2014/10/28,337959.40000000002,1870,ACL Transportation Services,-90.769930000000002,30.009950000000000,3523.504667995190630
1675,Phillips 66 Company,"15551 Hwy 23, Belle Chasse, LA",2014/12/09,356108.90999999997,1169,"Cannon Medical Carubba Engineering, Inc.",-89.970979999999997,29.686990000000002,3692.266177609153601
1676,"Mosaic Fertilizer, LLC","7520 Highway 44, Uncle Sam, LA",2014/10/28,311902.71000000002,1870,ACL Transportation Services,-90.769930000000002,30.009950000000000,3523.504667995190630
1677,Phillips 66 Company,"15551 Hwy 23, Belle Chasse, LA",2014/12/09,377408.79999999999,1169,"Cannon Medical Carubba Engineering, Inc.",-89.970979999999997,29.686990000000002,3692.266177609153601
1678,"Mosaic Fertilizer, LLC","7520 Highway 44, Uncle Sam, LA",2014/10/28,230708.29000000001,1870,ACL Transportation Services,-90.769930000000002,30.009950000000000,3523.504667995190630
1679,Phillips 66 Company,"15551 Hwy 23, Belle Chasse, LA",2014/12/09,398112.46999999997,1169,"Cannon Medical Carubba Engineering, Inc.",-89.970979999999997,29.686990000000002,3692.266177609153601
1680,Phillips 66 Company,"15551 Hwy 23, Belle Chasse, LA",2014/12/09,421723.65000000002,1169,"Cannon Medical Carubba Engineering, Inc.",-89.970979999999997,29.686990000000002,3692.266177609153601
1681,"Mosaic Fertilizer, LLC","7520 Highway 44, Uncle Sam, LA",2014/10/28,181189.50000000000,1870,ACL Transportation Services,-90.769930000000002,30.009950000000000,3523.504667995190630
1682,Phillips 66 Company,"15551 Hwy 23, Belle Chasse, LA",2014/12/09,395817.75000000000,1169,"Cannon Medical Carubba Engineering, Inc.",-89.970979999999997,29.686990000000002,3692.266177609153601
1683,Phillips 66 Company,"15551 Hwy 23, Belle Chasse, LA",2014/12/09,299136.50000000000,1169,"Cannon Medical Carubba Engineering, Inc.",-89.970979999999997,29.686990000000002,3692.266177609153601
1685,"Tulco, Inc.","115 Production Drive, Sulphur, LA",2014/10/28,190614.07999999999,1541,"John H. Carter Company, Inc.",-93.327533000000003,30.242645000000000,3538.277806417956526
1687,"Mosaic Fertilizer, LLC","7520 Highway 44, Uncle Sam, LA",2014/10/28,275997.73999999999,1870,ACL Transportation Services,-90.769930000000002,30.009950000000000,3523.504667995190630
1688,"Mosaic Fertilizer, LLC","7520 Highway 44, Uncle Sam, LA",2014/10/28,214663.07000000001,1870,ACL Transportation Services,-90.769930000000002,30.009950000000000,3523.504667995190630
1689,"Mosaic Fertilizer, LLC","7520 Highway 44, Uncle Sam, LA",2014/10/28,225228.14000000001,1870,ACL Transportation Services,-90.769930000000002,30.009950000000000,3523.504667995190630
1690,"Mosaic Fertilizer, LLC","7520 Highway 44, Uncle Sam, LA",2014/10/28,412905.58000000002,1870,ACL Transportation Services,-90.769930000000002,30.009950000000000,3523.504667995190630
1691,"Mosaic Fertilizer, LLC","7520 Highway 44, Uncle Sam, LA",2014/10/28,422668.37000000000,1870,ACL Transportation Services,-90.769930000000002,30.009950000000000,3523.504667995190630
1692,"Compass Minerals Louisiana, Inc.","Cote Blanche Island, Louisa, LA",2014/10/28,234130.07000000001,1433,"Alta Mesa Services, LP",-91.728802779999995,29.753869439999999,4080.120248298948354
1702,Evonik Corporation,"3606 Hwy 44, Garyville, LA",2014/10/28,881584.73999999999,1554,St John Fleeting,-90.613245000000006,30.037248000000002,4932.719561299211819
1703,"Mosaic Fertilizer, LLC","7250 Highway 44, Uncle Sam, LA",2012/02/28,645813.85999999999,1870,ACL Transportation Services,-90.769930000000002,30.009950000000000,3523.504667995190630
1704,"Mosaic Fertilizer, LLC","7250 Highway 44, Uncle Sam, LA",2017/04/26,645813.85999999999,1870,ACL Transportation Services,-90.769930000000002,30.009950000000000,3523.504667995190630
1705,"Mosaic Fertilizer, LLC","7250 Highway 44, Uncle Sam, LA",2012/09/24,23942.36000000000,1870,ACL Transportation Services,-90.769930000000002,30.009950000000000,3523.504667995190630
1706,"PPG Industries, Inc.","1300 PPG Drive, Westlake, LA",2014/10/28,23688.20000000000,2053,Axiall Corporation,-93.288647220000001,30.232213890000001,977.284054528059187
1707,Eagle US 2 LLC,"1300 PPG Drive, Westlake, LA",2014/10/28,411747.20000000001,2053,Axiall Corporation,-93.288647220000001,30.232213890000001,977.284054528059187
1708,Eagle US 2 LLC,"1300 PPG Drive, Westlake, LA",2014/10/28,787306.56000000006,2053,Axiall Corporation,-93.288647220000001,30.232213890000001,977.284054528059187
1709,"PPG Industries, Inc.","1300 PPG Drive, Westlake, LA",2015/02/24,256111.09000000000,2053,Axiall Corporation,-93.288647220000001,30.232213890000001,977.284054528059187
1710,Eagle US 2 LLC,"1300 PPG Drive, Westlake, LA",2014/10/28,612819.94999999995,2053,Axiall Corporation,-93.288647220000001,30.232213890000001,977.284054528059187
1711,"PHH Monomers, LLC","1300 PPG Drive, Westlake, LA",2014/10/28,61254.42000000000,2053,Axiall Corporation,-93.288647220000001,30.232213890000001,977.284054528059187
1714,Textron Marine & Land Systems,"252 Stone Road, Slidell, LA",2014/10/28,203471.35000000001,1620,Textron Marine & Land Systems,-89.780169999999998,30.300280000000001,546.014191946589563
1717,"Laitram Machine Shop, LLC","220 R Laitram Lane, Harahan, LA",2014/10/28,216403.60000000001,155,"Jefferson Parish Water Department, R. Douglas Vincent",-90.162813889999995,29.953316670000000,4791.057729853231649
1718,"Lapeyre Stair, Inc.","5117 Toler Avenue, Harahan, LA",2014/10/28,21539.71000000000,155,"Jefferson Parish Water Department, R. Douglas Vincent",-90.162813889999995,29.953316670000000,5131.368034117955176
1720,"Laitram, LLC","220 Laitram Lane, Harahan, LA",2014/10/28,639013.02000000002,155,"Jefferson Parish Water Department, R. Douglas Vincent",-90.162813889999995,29.953316670000000,4791.057729853231649
1721,"Laitram Machinery, Inc.","220 Laitram Lane, Harahan, LA",2014/10/28,32308.08000000000,155,"Jefferson Parish Water Department, R. Douglas Vincent",-90.162813889999995,29.953316670000000,4791.057729853231649
1725,"Turner Industries Group, LLC","1700 South Westport Drive, Port Allen, LA",2014/10/28,25624.13000000000,2131,Air Liquide,-91.222769439999993,30.440755559999999,687.549933167534050
1727,CB&I Walker La L.L.C.,"30103 Sunland Drive, Walker, LA",2014/08/26,178432.91000000000,2356,"Buzzell & Bryson, LLC",-90.861668890000004,30.490763609999998,955.899841934775054
1733,"Southern Recycling, LLC","838 Hwy. 182, Houma, LA",2014/10/28,629137.15000000002,1549,"NGL Crude Terminals, L.L.C.",-90.710358330000005,29.616750000000000,641.333645745493072
1734,"Southern Recycling, LLC","1367 Mahaffey Rd., Port Allen, LA",2014/10/28,187152.53000000000,2131,Air Liquide,-91.222769439999993,30.440755559999999,2619.116074648412905
1735,"Southern Recycling, LLC","222 South Railroad St., Morgan City, LA",2014/10/28,39091.98000000000,1860,Morgan City,-91.210627779999996,29.695597220000000,1126.054079087977243
1739,"UOP, LLC","1200 Airline Highway, Baton Rouge, LA",2014/10/28,546073.56999999995,246,"Bridgeline Holdings, LP",-91.200999999999993,30.507780000000000,4860.325804499586411
1740,Honeywell International,"5525 Hwy 3115, Geismar, LA",2014/10/28,155481.95999999999,1419,"Total Petrochemicals and Refining USA, Inc.",-91.070277779999998,30.216474999999999,4037.440286672992443
1741,Honeywell International,"5525 Hwy 3115, Geismar, LA",2014/10/28,732182.93000000005,1419,"Total Petrochemicals and Refining USA, Inc.",-91.070277779999998,30.216474999999999,4037.440286672992443
1742,Honeywell International,"2966 Lupine, Baton Rouge, LA",2014/10/28,277824.70000000001,537,ExxonMobil Refining and Supply – Baton Rouge Refinery,-91.193382999999997,30.483806000000001,4996.278772470019248
1743,Honeywell International,"2966 Lupine, Baton Rouge, LA",2014/10/28,703608.75000000000,537,ExxonMobil Refining and Supply – Baton Rouge Refinery,-91.193382999999997,30.483806000000001,4996.278772470019248
1744,Honeywell International,"5525 Hwy 3115, Geismar, LA",2014/10/28,514645.40000000002,1419,"Total Petrochemicals and Refining USA, Inc.",-91.070277779999998,30.216474999999999,4037.440286672992443
1745,Honeywell International,"5525 Hwy 3115, Geismar, LA",2014/10/28,572906.97999999998,1419,"Total Petrochemicals and Refining USA, Inc.",-91.070277779999998,30.216474999999999,4037.440286672992443
1746,Honeywell International,"5525 Hwy 3115, Geismar, LA",2014/10/28,43195.52000000000,1419,"Total Petrochemicals and Refining USA, Inc.",-91.070277779999998,30.216474999999999,4037.440286672992443
1751,Cleco Power LLC,"237 Newman St, Baldwin, LA",2014/10/28,60840.86000000000,1339,St Mary Levee District,-91.536111109999993,29.826388890000000,2418.212886927851287
1766,Formosa Plastics Corporation,"Gulf States Road, Baton Rouge, LA",2014/10/28,565768.06000000006,1473,"WATER CAMPUS, L.L.C.",-91.191079000000002,30.435404999999999,3160.550494612301918
1767,Formosa Plastics Corporation,"Gulf States Road, Baton Rouge, LA",2014/10/28,275088.48999999999,1473,"WATER CAMPUS, L.L.C.",-91.191079000000002,30.435404999999999,3160.550494612301918
1768,Formosa Plastics Corporation,"Gulf States Road, Baton Rouge, LA",2014/10/28,792744.73999999999,1473,"WATER CAMPUS, L.L.C.",-91.191079000000002,30.435404999999999,3160.550494612301918
1769,Formosa Plastics Corporation,"Gulf States Road, Baton Rouge, LA",2014/10/28,814125.79000000004,1473,"WATER CAMPUS, L.L.C.",-91.191079000000002,30.435404999999999,3160.550494612301918
1771,"Lion Copolymer Geismar, LLC","36191 Highway 30, Geismar, LA",2014/10/28,442707.09000000003,2064,Shriver Construction,-91.005933330000005,30.222316670000001,2875.694038380885104
1774,Omega Protein Inc.,"9730 Andrew Road, Abbeville, LA",2014/08/26,274288.69000000000,1096,Omega Protein Corp.,-92.138055559999998,29.821111110000000,1672.784132668742359
1776,"Rubicon, LLC","9156 Highway 75, Geismar, LA",2014/10/28,703073.76000000001,2244,"Delta Terminal Services, LLC",-91.018966669999998,30.197041670000001,489.531297163061140
1777,"Rubicon, LLC","9156 Highway 75, Geismar, LA",2014/10/28,500602.77000000002,2244,"Delta Terminal Services, LLC",-91.018966669999998,30.197041670000001,489.531297163061140
1778,"Huntsman International, LLC","9156 Highway 75, Geismar, LA",2014/10/28,788428.56000000006,2244,"Delta Terminal Services, LLC",-91.018966669999998,30.197041670000001,489.531297163061140
1779,"Huntsman International, LLC","9156 Highway 75, Geismar, LA",2014/10/28,750991.34999999998,2244,"Delta Terminal Services, LLC",-91.018966669999998,30.197041670000001,489.531297163061140
1780,"Huntsman International, LLC","9156 Highway 75, Geismar, LA",2014/10/28,607687.33999999997,2244,"Delta Terminal Services, LLC",-91.018966669999998,30.197041670000001,489.531297163061140
1781,"Huntsman International, LLC","9156 Highway 75, Geismar, LA",2014/10/28,476018.45000000001,2244,"Delta Terminal Services, LLC",-91.018966669999998,30.197041670000001,489.531297163061140
1782,"Mr. Mudbug, Inc. dba MMI Culinary Services","131 23rd Street, Kenner, LA",2013/06/25,1607118.97999999998,1306,New Orleans Aviation Board,-90.277199999999993,29.998799999999999,2143.075941854418943
1784,BP Lubricants USA Inc,"1981 S Westport Drive, Port Allen, LA",2014/08/26,43435.94000000000,2131,Air Liquide,-91.222769439999993,30.440755559999999,1402.500579355644959
1785,BP Lubricants USA Inc,"1981 S Westport Drive, Port Allen, LA",2014/08/26,6834.02000000000,2131,Air Liquide,-91.222769439999993,30.440755559999999,1402.500579355644959
1786,BP Lubricants USA Inc,"1981 S Westport Drive, Port Allen, LA",2014/08/26,46255.77000000000,2131,Air Liquide,-91.222769439999993,30.440755559999999,1402.500579355644959
1787,BP Lubricants USA Inc,"1981 S Westport Drive, Port Allen, LA",2014/08/26,117290.67000000000,2131,Air Liquide,-91.222769439999993,30.440755559999999,1402.500579355644959
1788,BP Lubricants USA Inc,"1981 S Westport Drive, Port Allen, LA",2014/08/26,20310.39000000000,2131,Air Liquide,-91.222769439999993,30.440755559999999,1402.500579355644959
1789,BP Lubricants USA Inc,"1981 S Westport Drive, Port Allen, LA",2014/08/26,28315.19000000000,2131,Air Liquide,-91.222769439999993,30.440755559999999,1402.500579355644959
1790,BP Lubricants USA Inc,"1981 S Westport Drive, Port Allen, LA",2014/08/26,122037.08000000000,2131,Air Liquide,-91.222769439999993,30.440755559999999,1402.500579355644959
1791,BP Lubricants USA Inc,"1981 S Westport Drive, Port Allen, LA",2016/06/24,48338.18000000000,2131,Air Liquide,-91.222769439999993,30.440755559999999,1402.500579355644959
1792,BP Lubricants USA Inc,"1981 S Westport Drive, Port Allen, LA",2014/08/26,203616.67999999999,2131,Air Liquide,-91.222769439999993,30.440755559999999,1402.500579355644959
1793,BP Lubricants USA Inc,"1981 S Westport Drive, Port Allen, LA",2014/08/26,60056.18000000000,2131,Air Liquide,-91.222769439999993,30.440755559999999,1402.500579355644959
1794,BP Lubricants USA Inc,"1981 S Westport Drive, Port Allen, LA",2014/08/26,144804.85999999999,2131,Air Liquide,-91.222769439999993,30.440755559999999,1402.500579355644959
1795,BP Lubricants USA Inc,"1981 S Westport Drive, Port Allen, LA",2014/08/26,393300.45000000001,2131,Air Liquide,-91.222769439999993,30.440755559999999,1402.500579355644959
1796,Cameron International Corporation,"3007 Hwy 182 E, Berwick, LA",2014/10/28,651687.38000000000,2275,Gregory Rochel,-91.254527780000004,29.717999830000000,4541.325866934610531
1797,Cameron International Corporation,"3007 Hwy 182 E, Berwick, LA",2014/10/28,279822.12000000000,2275,Gregory Rochel,-91.254527780000004,29.717999830000000,4541.325866934610531
1798,Cameron International Corporation,"3007 Hwy 182 E, Berwick, LA",2014/10/28,380449.08000000002,2275,Gregory Rochel,-91.254527780000004,29.717999830000000,4541.325866934610531
1799,"GE Oil & Gas Compression Systems, LLC","10446 River Road, St. Rose, LA",2014/10/28,4279.45000000000,1435,St. Charles Parish Department of Public Works,-90.296227779999995,29.972802779999999,1803.330975391671473
1801,Equistar Chemicals LP,"4101 Highway 108, Westlake, LA",2014/10/28,499529.21999999997,1688,"Louisiana Pigment Company, L.P.",-93.311493999999996,30.190477000000001,4400.816321930211416
1802,Equistar Chemicals LP,"4101 Highway 108, Westlake, LA",2014/10/28,567568.23999999999,1688,"Louisiana Pigment Company, L.P.",-93.311493999999996,30.190477000000001,4400.816321930211416
1805,"Bayou Companies, LLC","5200 Curtis Lane, New Iberia, LA",2014/10/28,140961.70999999999,907,Port of Iberia,-91.851666670000000,29.947777779999999,2792.175517849727839
1813,"Prager, Inc.","181 Riverbend Blvd, St Rose, LA",2014/10/28,31902.58000000000,1435,St. Charles Parish Department of Public Works,-90.296227779999995,29.972802779999999,1504.969361276413338
1815,Shell Chemical Company - Ascension,"7594 Hwy 75, Geismar, LA",2014/10/28,745142.10999999999,1658,"Shell Chemical, LP",-91.006944439999998,30.176666669999999,1006.669370562904305
1816,Shell Chemical Company - Ascension,"7594 Hwy 75, Geismar, LA",2014/10/28,679982.68999999994,1658,"Shell Chemical, LP",-91.006944439999998,30.176666669999999,1006.669370562904305
1817,Shell Chemical Company - Ascension,"7594 Hwy 75, Geismar, LA",2015/02/24,257776.98999999999,1658,"Shell Chemical, LP",-91.006944439999998,30.176666669999999,1006.669370562904305
1822,"Shintech Louisiana, LLC","9750 LA Highway 1 South, Addis, LA",2014/10/28,469551.12000000000,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,2317.351499082209102
1823,"Shintech Louisiana, LLC","9750 LA Highway 1 South, Addis, LA",2014/10/28,547038.01000000001,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,2317.351499082209102
1824,"Shintech Louisiana, LLC","9750 LA Highway 1 South, Addis, LA",2014/10/28,371960.19000000000,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,2317.351499082209102
1825,"Shintech Louisiana, LLC","9750 LA Highway 1 South, Addis, LA",2014/10/28,552102.73999999999,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,2317.351499082209102
1826,"Shintech Louisiana, LLC","9750 LA Highway 1 South, Addis, LA",2014/10/28,648411.98999999999,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,2317.351499082209102
1827,"Shintech Louisiana, LLC","9750 LA Highway 1 South, Addis, LA",2014/10/28,568755.78000000003,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,2317.351499082209102
1828,"Shintech Louisiana, LLC","9750 LA Highway 1 South, Addis, LA",2014/10/28,637978.87000000000,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,2317.351499082209102
1829,"Shintech Louisiana, LLC","9750 LA Highway 1 South, Addis, LA",2014/10/28,613955.93999999994,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,2317.351499082209102
1830,"Shintech Louisiana, LLC","9750 LA Highway 1 South, Addis, LA",2014/10/28,665997.85999999999,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,2317.351499082209102
1831,"William C. New Interests, LLC","6032 Railroad Avenue, Morgan City, LA",2014/10/28,3608.23000000000,2415,"Crosstex Energy Services, LP",-91.155680829999994,29.684197000000001,5147.578196087656579
1833,"New Industries, LLC","6032 Railroad Avenue, Morgan City, LA",2014/10/28,684087.54000000004,2415,"Crosstex Energy Services, LP",-91.155680829999994,29.684197000000001,5147.578196087656579
1834,Weyerhaeuser NR Company,"17391 Florida Blvd, Holden, LA",2014/10/28,59998.87000000000,1872,Darryl George Hoover,-90.640230000000003,30.497000000000000,2870.854894302044613
1839,Coca Cola Bottling Co. United Gulf Coast LLC,"9696 Plank Road, Baton Rouge, LA",2014/10/28,667737.48999999999,1955,Baton Rouge Metropolitan Airport,-91.136388999999994,30.543889100000001,1765.939607289898959
1846,Certainteed Corporation,"3300 Pete Manena Road, Sulphur, LA",2014/10/28,514436.28999999998,2084,Axial Corporation,-93.302000000000007,30.218000000000000,3079.250404833695484
1849,"Bradken, Inc.","13040 Foulks Lane, Amite, LA",2014/10/28,173150.26000000001,605,Standard Enterprises,-90.511189999999999,30.749070000000000,1330.064739214229803
1852,"ArcelorMittal LaPlace, LLC","138 Highway 3217, LaPlace, LA",2015/02/24,98695.42000000000,1986,Illinois Central Railroad Company,-90.462027780000000,30.039919439999998,1033.778202851310425
1853,"ArcelorMittal LaPlace, LLC","138 Highway 3217, LaPlace, LA",2015/02/24,743640.95999999996,1986,Illinois Central Railroad Company,-90.462027780000000,30.039919439999998,1033.778202851310425
1866,"Westlake Vinyls Company, LP","36045 Hwy 30, Geismar, LA",2014/10/28,657215.54000000004,2064,Shriver Construction,-91.005933330000005,30.222316670000001,1776.179895313787938
1874,"IO Marine Systems, Inc.","5004 River Road, Harahan, LA",2014/10/28,16715.25000000000,155,"Jefferson Parish Water Department, R. Douglas Vincent",-90.162813889999995,29.953316670000000,4000.231038612505017
1878,"Placid Refining Company, LLC","1940 LA Highway 1 North, Port Allen, LA",2014/10/28,150808.95999999999,258,PLACID REFINING COMPANY,-91.199900000000000,30.474699999999999,3595.993444266655388
1879,"Kim Kool, Inc.","2619 Lena Street, Sulphur, LA",2014/10/28,52174.12000000000,1013,Tractor Supply Company,-93.378244440000003,30.211849999999998,1422.144995493576971
1881,"Community Coffee Company, LLC","1833 LA Higway 1 South, Port Allen, LA",2014/08/26,32204.75000000000,2369,Greater Baton Rouge Port Comission,-91.202678000000006,30.433630829999998,2179.420814092552973
1886,Bollinger Larose LLC,"1515 Hwy 24, Larose, LA",2014/08/26,374670.78000000003,1862,"Discovery Producer Services, LLC",-90.397499999999994,29.543333329999999,2476.472710301150073
1887,BASF Corporation,"8404 River Road, Geismar, LA",2014/10/28,190080.00000000000,1498,IMTT Geismar,-91.013888890000004,30.186666670000001,706.889183565247663
1888,BASF Corporation,"8404 River Road, Geismar, LA",2014/10/28,762220.01000000001,1498,IMTT Geismar,-91.013888890000004,30.186666670000001,706.889183565247663
1889,BASF Corporation,"8404 River Road, Geismar, LA",2014/10/28,778999.94999999995,1498,IMTT Geismar,-91.013888890000004,30.186666670000001,706.889183565247663
1890,BASF Corporation,"8404 River Road, Geismar, LA",2014/10/28,781671.20999999996,1498,IMTT Geismar,-91.013888890000004,30.186666670000001,706.889183565247663
1891,BASF Corporation,"8404 River Road, Geismar, LA",2014/10/28,637737.08999999997,1498,IMTT Geismar,-91.013888890000004,30.186666670000001,706.889183565247663
1892,BASF Corporation,"8404 River Road, Geismar, LA",2014/10/28,786037.51000000001,1498,IMTT Geismar,-91.013888890000004,30.186666670000001,706.889183565247663
1893,BASF Corporation,"8404 River Road, Geismar, LA",2014/10/28,747671.13000000000,1498,IMTT Geismar,-91.013888890000004,30.186666670000001,706.889183565247663
1894,BASF Corporation,"8404 River Road, Geismar, LA",2014/10/28,763495.76000000001,1498,IMTT Geismar,-91.013888890000004,30.186666670000001,706.889183565247663
1895,BASF Corporation,"8404 River Road, Geismar, LA",2014/10/28,779342.09999999998,1498,IMTT Geismar,-91.013888890000004,30.186666670000001,706.889183565247663
1898,BASF Corporation,"8404 River Road, Geismar, LA",2014/10/28,646112.96999999997,1498,IMTT Geismar,-91.013888890000004,30.186666670000001,706.889183565247663
1899,BASF Corporation,"8404 River Road, Geismar, LA",2014/10/28,789778.43999999994,1498,IMTT Geismar,-91.013888890000004,30.186666670000001,706.889183565247663
1900,BASF Corporation,"8404 River Road, Geismar, LA",2014/10/28,586233.65000000002,1498,IMTT Geismar,-91.013888890000004,30.186666670000001,706.889183565247663
1901,BASF Corporation,"8404 River Road, Geismar, LA",2014/10/28,766060.56999999995,1498,IMTT Geismar,-91.013888890000004,30.186666670000001,706.889183565247663
1902,BASF Corporation,"8404 River Road, Geismar, LA",2014/10/28,779072.81999999995,1498,IMTT Geismar,-91.013888890000004,30.186666670000001,706.889183565247663
